日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-01,688256,248.0,237.01,259.24,237.0,121860,3007753344.0,8.75,-6.76,-17.18,5.0
2023-06-02,688256,241.0,228.7,244.58,224.84,118296,2732752213.0,8.33,-3.51,-8.31,4.86
2023-06-05,688256,227.7,230.32,235.24,225.0,89765,2066278373.0,4.48,0.71,1.62,3.68
2023-06-06,688256,227.0,223.25,232.18,219.0,91596,2059426427.0,5.72,-3.07,-7.07,3.75
2023-06-07,688256,221.09,221.2,226.53,217.12,71106,1572973389.0,4.22,-0.92,-2.05,2.91
2023-06-08,688256,218.0,221.01,223.65,213.01,71396,1562324276.0,4.81,-0.09,-0.19,2.92
2023-06-09,688256,221.01,226.78,228.65,209.0,142429,3102521833.0,8.89,2.61,5.77,5.83
2023-06-12,688256,224.56,220.21,234.56,219.0,113731,2574783632.0,6.86,-2.9,-6.57,4.66
2023-06-13,688256,219.48,232.9,235.99,213.1,127299,2884886426.0,10.39,5.76,12.69,5.21
2023-06-14,688256,229.6,224.8,231.88,218.86,122668,2747667052.0,5.59,-3.48,-8.1,5.02
2023-06-15,688256,227.5,211.0,230.89,211.0,120102,2626054839.0,8.85,-6.14,-13.8,4.92
2023-06-16,688256,206.9,222.85,222.88,202.63,136474,2923130264.0,9.6,5.62,11.85,5.59
2023-06-19,688256,227.0,239.1,242.68,224.01,169708,3991358350.0,8.38,7.29,16.25,6.95
2023-06-20,688256,244.0,267.0,269.5,231.1,204307,5061736664.0,16.06,11.67,27.9,8.37
2023-06-21,688256,256.69,230.98,257.0,230.0,152780,3726921595.0,10.11,-13.49,-36.02,6.26
2023-06-26,688256,221.0,202.5,224.54,200.24,151024,3169393797.0,10.52,-12.33,-28.48,6.19
2023-06-27,688256,198.0,196.69,202.65,195.0,79541,1575126113.0,3.78,-2.87,-5.81,3.26
2023-06-28,688256,209.99,202.95,215.0,198.5,162204,3352777802.0,8.39,3.18,6.26,6.64
2023-06-29,688256,202.0,193.0,204.77,183.3,144867,2784893099.0,10.58,-4.9,-9.95,5.93
2023-06-30,688256,189.94,188.0,193.0,183.02,109528,2049782239.0,5.17,-2.59,-5.0,4.49
2023-07-03,688256,187.02,192.54,199.0,181.0,114307,2160024871.0,9.57,2.41,4.54,4.68
2023-07-04,688256,190.0,202.41,205.2,187.28,118369,2349023650.0,9.31,5.13,9.87,4.85
2023-07-05,688256,199.49,200.8,206.74,196.51,74937,1511239831.0,5.05,-0.8,-1.61,3.07
2023-07-06,688256,198.22,206.82,217.8,198.22,109094,2293471412.0,9.75,3.0,6.02,4.47
2023-07-07,688256,206.82,195.43,209.6,187.87,93416,1833783008.0,10.51,-5.51,-11.39,3.83
2023-07-10,688256,195.43,196.96,205.0,194.11,67465,1343084217.0,5.57,0.78,1.53,2.76
2023-07-11,688256,197.62,210.3,218.0,195.35,115004,2411368718.0,11.5,6.77,13.34,4.71
2023-07-12,688256,212.01,196.29,214.5,195.59,93960,1917407637.0,8.99,-6.66,-14.01,3.85
2023-07-13,688256,199.9,200.1,204.48,192.18,96862,1924027828.0,6.27,1.94,3.81,3.97
2023-07-14,688256,205.1,206.01,213.6,201.91,98343,2040119897.0,5.84,2.95,5.91,4.03
